                                                             СТАТИКА Unnamed: 1  Unnamed: 2                                                          СТАТО-ДИНАМІКА Unnamed: 4  Unnamed: 5                                                   ДИНАМІКА Unnamed: 7  Unnamed: 8                                              ДИНАМІКА.1 Unnamed: 10
0                                                     Назва елементу        бал         NaN                                                          Назва елементу        бал         NaN                                             Назва елементу        бал         NaN                                          Назва елементу         бал
105                                    Горизонт ноги разом схрестним         20         NaN                                 Накаяма на кільцях (з ластівки в хрест)         22         NaN                              Сальто на брусах назад в упор          8         NaN                                                     NaN         NaN
106   Літак ноги разом на підлозі, брусах, перекладині (НИЖНІЙ ХВАТ)         20         NaN                                                            Пелікан фулл         28         NaN  Егер з вису позаду (Переднє сальто в зачеп з вису позаду)          8         NaN                                                     NaN         NaN
107                      Фул з упором одної руки за предплічча іншої         20         NaN                                             Хлопок за спину в горизонті         30         NaN                                                    Мортіра          8         NaN                                                     NaN         NaN
108                                   Горизонт ноги разом на пальцях         20         NaN                                   Пелікан на кільцях (з ластівки в фул)         30         NaN              Заліт на 180 в імпульсо на маху назад - "LVD"          8         NaN                                                     NaN         NaN
109                                   Елементи надвисокої складності        NaN         NaN                                        Хлопок за спину в горизонті фулл         35         NaN                                                        NaN        NaN         NaN                                                     NaN         NaN
110                                      Літак ноги разом на кільцях         22         NaN                                                             Ван Гельдер         35         NaN                                                        NaN        NaN         NaN                                                     NaN         NaN
111              Варіації літак ноги разом (Фул літак) (ускладнення)         22         NaN                                                                     NaN        NaN         NaN                                                        NaN        NaN         NaN                                                     NaN         NaN
112                                                     SAT Передній         27         NaN                                                                     NaN        NaN         NaN                                                        NaN        NaN         NaN                                                     NaN         NaN
113                                           Горизонт на одній руці         28         NaN                                                                     NaN        NaN         NaN                                                        NaN        NaN         NaN                                                     NaN         NaN
114                                       Зворотній літак на кільцях         30         NaN                                                                     NaN        NaN         NaN                                                        NaN        NaN         NaN                                                     NaN         NaN
